Date,Model,MBTI,Agent_Type,Scenario,Seed,Crash_Discount,Phase,Price,Fundamental_Value,Portfolio_Value,Cash,Holdings_Qty,Action,Quantity_Percent,Rationale,SMA20,SMA60,RSI14,MACD,Volume,Volume_Ratio,Implied_Volatility,Reported_PE,Dividend_Yield,Trend_Strength,Trend_Regime,Sentiment,Sentiment_MA5,Sentiment_Change
Day-1,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,85.48,99.66593574976102,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to establish a statistically significant edge.  Waiting for a clearer signal from the model.,85.48,85.48,50.0,0.0,1308603,1.0,15.0,12.9,3.11,0.0,0,0.06,0.06,0.0
Day-2,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,83.31,99.59899650387224,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger entry.  Current price does not align with projected buy zone based on the system model.,84.4,84.4,50.0,-0.1727,1140262,0.93,15.1,12.5,3.19,0.0,0,-0.18,-0.06,-0.12
Day-3,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,83.25,100.00549044178328,10000.0,10000.0,0.0,HOLD,0.0,No actionable signal detected. Current market data does not meet the pre-defined entry criteria for the trading system.,84.02,84.02,50.0,-0.3109,1014985,0.88,15.2,12.5,3.2,0.0,0,-0.14,-0.09,-0.05
Day-4,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,85.89,99.82864992140844,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger entry criteria.  Waiting for a clearer signal based on the model's parameters.,84.48,84.48,50.0,-0.2055,1045023,0.93,15.3,12.9,3.1,0.0,0,-0.24,-0.13,-0.11
Day-5,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,82.9,100.0676598039291,10000.0,10000.0,0.0,HOLD,0.0,No actionable signal present.  Current data does not meet entry criteria defined by the system model.,84.17,84.17,50.0,-0.359,1077446,0.96,15.4,12.4,3.22,0.0,0,0.31,-0.04,0.35
Day-6,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,88.0,100.05530059551093,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger entry criteria.  Waiting for a clearer signal based on the model's analysis.,84.81,84.81,50.0,-0.0686,1456476,1.24,15.5,13.2,3.03,0.0,0,0.21,-0.01,0.22
Day-7,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,85.73,99.23959070083943,10000.0,10000.0,0.0,HOLD,0.0,No statistically significant deviation from the model's parameters.  Waiting for a clearer entry point.,84.94,84.94,50.0,-0.0212,1075196,0.93,15.6,13.0,3.09,0.0,0,0.34,0.1,0.24
Day-8,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,82.92,99.16145044908968,10000.0,10000.0,0.0,HOLD,0.0,No statistically significant deviation from the model's long-term projections.  Waiting for a clearer entry point with a higher probability of alpha generation.,84.69,84.69,50.0,-0.2077,1319341,1.12,15.7,12.5,3.19,0.0,0,0.1,0.14,-0.04
Day-9,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,83.66,98.61190456809847,10000.0,10000.0,0.0,HOLD,0.0,No statistically significant deviation from the model's long-term parameters.  Waiting for a clearer entry point.,84.57,84.57,50.0,-0.2928,1188669,1.01,15.8,12.7,3.14,0.0,0,0.02,0.2,-0.18
Day-10,google/gemma-2-9b-it,INTJ,memory,crash,456,0.85,deterioration,81.31,98.47529597754891,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger entry.  Waiting for a clear signal from the proprietary system.,84.25,84.25,50.0,-0.543,1445363,1.2,15.9,12.4,3.23,0.0,0,-0.33,0.07,-0.4
