Date,Model,MBTI,Agent_Type,Scenario,Seed,Crash_Discount,Phase,Price,Fundamental_Value,Portfolio_Value,Cash,Holdings_Qty,Action,Quantity_Percent,Rationale,SMA20,SMA60,RSI14,MACD,Volume,Volume_Ratio,Implied_Volatility,Reported_PE,Dividend_Yield,Trend_Strength,Trend_Regime,Sentiment,Sentiment_MA5,Sentiment_Change
Day-1,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,99.17,100.0,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to establish a statistically significant entry point.  Waiting for a clearer signal within the system's parameters.,99.17,99.17,50.0,0.0,1136082,1.0,15.0,14.9,2.69,0.0,0,-0.41,-0.41,0.0
Day-2,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,98.09,98.70223750887034,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger entry.  Waiting for a price divergence from the SMA and RSI to indicate a potential opportunity.,98.63,98.63,50.0,-0.0863,1388074,1.1,18.7,14.9,2.68,0.0,0,-0.61,-0.51,-0.1
Day-3,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,98.39,97.75295469822973,10000.0,10000.0,0.0,HOLD,0.0,No statistically significant deviation from the model's long-term projections.  Waiting for a clearer entry point.,98.55,98.55,50.0,-0.1289,1207100,0.97,16.7,15.1,2.65,0.0,0,-0.24,-0.42,0.18
Day-4,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,99.76,98.99951408656395,10000.0,10000.0,0.0,HOLD,0.0,No actionable signal detected. Current market data does not meet the pre-defined entry criteria for the trading model.,98.85,98.85,50.0,-0.0514,1015836,0.86,13.8,15.1,2.65,0.0,0,-0.24,-0.38,0.13
Day-5,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,100.27,100.16199115169677,10000.0,10000.0,0.0,HOLD,0.0,No statistically significant deviation from the model's expected range.  Waiting for a clearer signal.,99.14,99.14,50.0,0.0511,1314794,1.08,9.9,15.0,2.66,0.0,0,0.09,-0.28,0.37
Day-6,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,102.92,102.93512922754884,10000.0,10000.0,0.0,HOLD,0.0,No statistically significant deviation from the model's expected range.  Waiting for a clearer entry signal.,99.77,99.77,50.0,0.3418,1452776,1.16,13.5,15.0,2.67,0.0,0,0.54,-0.09,0.63
Day-7,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,105.8,106.37714456836893,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger a trade. The model requires more information to identify a statistically significant opportunity.,100.63,100.63,50.0,0.7955,1167545,0.94,14.2,14.9,2.68,0.0,0,-0.05,0.02,-0.07
Day-8,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,106.97,107.05364579386003,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger entry.  Current price does not align with the model's projected entry point.,101.42,101.42,50.0,1.235,1374612,1.09,13.4,15.0,2.67,0.0,0,0.15,0.1,0.05
Day-9,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,108.57,108.0527717299839,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data to trigger entry.  Current price does not align with projected buy zone based on system parameters.,102.22,102.22,50.0,1.6934,1242759,0.99,12.9,15.1,2.65,0.0,0,-0.02,0.14,-0.16
Day-10,google/gemma-2-9b-it,INTJ,memory,flat,456,0.92,flat,106.84,107.34023033324252,10000.0,10000.0,0.0,HOLD,0.0,Insufficient data points to trigger entry criteria.  Waiting for a clear signal from the proprietary model.,102.68,102.68,50.0,1.8947,1177937,0.94,16.3,14.9,2.68,0.0,0,-0.18,0.09,-0.27
