item,property,statistic,criterion,pass,n_seeds
1,No linear autocorrelation of returns in calm phases (Cont 1),LB Q(10) p>0.05 in 92%; median |ACF(1)| = 0.060,>= 80% of seeds p>0.05; |ACF(1)| < 0.15,True,400
2,"Heavy tails (Cont 2, 7)",excess kurtosis > 1.5 in 50% (median 1.52); JB rejects in 75%; Hill median 3.99,kurtosis > 1.5 in >= 80%; JB rejects; Hill 2.5-5,False,1820
3,Volatility clustering (Cont 6),LB|r| p<0.01 in 40%; LB r^2 in 33%; ARCH-LM(5) rejects in 26%; median ACF|r|(1) = 0.076,p < 0.01 in >= 80%; ACF|r|(1) 0.1-0.4,False,1820
4,Decay of ACF|r| (Cont 8),"median ACF|r| at lags 1: 0.013, 5: 0.037, 10: 0.012, 20: 0.025, 50: -0.005",descriptive (T = 800 paths); not a pass criterion,,20
5,GARCH persistence recoverable,median alpha+beta = 0.976,"median alpha + beta in [0.90, 0.995]",True,1820
6,Leverage effect (Cont 9),"corr(r_t,|r_t+1|) < 0 in 54% (median -0.008); GJR gamma median 0.036",negative in >= 70%; gamma > 0,False,1820
7,Volume-volatility (Cont 10),"median Spearman corr(volume,|r|) = 0.429; median AC(1) log volume = 0.775; Shapiro p > 0.01 in 49% of seeds (median p = 0.008)",corr 0.2-0.5; AC(1) 0.5-0.8; log-normality not rejected (p > 0.01 in >= 50% of seeds),False,1820
8,Gain/loss asymmetry in crash (Cont 3),median skew = -0.004; worst day larger than best in 48%,skew < 0; worst > best in >= 70% of crash seeds,False,600
9,Mispricing persistence (FW regime),"200-day calm windows: median ACF(1) of x = 0.9335, half-life = 10 d, sd(x) = 0.042; T=800 phase-free: ACF(1) = 0.9604, half-life = 17 d, sd(x) = 0.057 (criterion applied here)",ACF(1) >= 0.98; half-life >= 60 d; sd 0.08-0.20,False,20
10,Delta matters,"event-window MDD: partial R2 of delta (controlling D_V) = 0.00, spread between delta 0.55 and 0.85 = 0.0 pp, means 0.55: -46.7%, 0.7: -46.7%, 0.85: -46.7%; whole-path MDD (reported): partial R2 0.00, spread 0.0 pp, means 0.55: -51.8%, 0.7: -51.8%, 0.85: -51.8%","partial R2 > 0.7; spread >= 20 pp between delta 0.55 and 0.85 (event-window MDD, amendment A7)",False,600
11,Bubble shape and populations,mean 2nd difference of log P over mania > 0 in 46% (median -1.63e-05); topped share = 15%; median peak P/V in topped seeds = 1.48,convex; 40-60% topped; peak P/V 1.6-2.5 in topped seeds,False,200
12,Sentiment dynamics,"median ACF(1) = 0.845; median corr(s_t, r_t) = 0.379; median calm corr(s_t-1, r_t) = -0.036 (configured b_pred = 0.0008)",ACF(1) 0.7-0.9; corr 0.25-0.55; lagged corr equals configured b_pred within CI,True,1820
13,IV realism,"mean IV calm 32.3%, panic 69.8%; median corr(IV, next-20d RV) = 0.21; IV-RV calm +0.1 pts, panic -9.8 pts; sd of calm IV across seeds 7.82","calm 25-35%, panic 60-100%; corr 0.4-0.8; IV-RV +3..+8 calm, +10..+25 panic; non-degenerate across seeds",False,1820
14,Value leak,see evaluation.leakage_audit (L1-L3),calm R2 <= 0.30; event R2 < 0.90 & MAPE >= 10%; no inversion,,0
15,Phase/time separability,"macro-phase accuracy from day alone = 60.1% (mixed set, 1820 paths; within-scenario mean 73.2%); |corr(day, phase id)| = 0.20",< 80% on the mixed set; < 0.9,True,1820
16,Composite phase clock,see evaluation.leakage_audit (L2b),selectivity <= 10 pp,,0
17,Conditioning,flat: rejection rate 0.0%; bull_trap: rejection rate 13.0%; crash: rejection rate 3.8%; sustained_bull: rejection rate 32.9%; mixed: rejection rate 5.1%; flat_T800: rejection rate 0.0%; bull-trap topped share 15%,rejection < 5% per scenario; joint conditioning published,False,1820
18,Start design applied,unit test (tests/),C_0 as configured,,0
19,Action-space reachability,unit test (tests/),any allocation reachable; SELL feasible at t=1,,0
20,Magnitudes,median crash MDD = -51.5%; median calm daily sigma (flat) = 2.02%; median worst panic day = -13.4%,crash MDD -20..-65%; calm sigma 1.4-2.2%/day; worst day -6..-15% in panic,True,800
